,Num_Acc,place,catu,grav,sexe,secu,locp,actp,etatp,an_nais,num_veh,senc,catv,occutc,obs,obsm,choc,manv,mois,jour,hrmn,lum,agg,int,atm,col,mom,catvopp,catv_gen,catvopp_gen
24072,201600010833,1.0,1,3,1,21.0,0.0,0.0,0.0,1968.0,C01,1.0,33,0,0.0,2.0,8.0,1.0,2,1,723,5,2,1,1,5,1,32,1,1
24073,201600010834,1.0,1,3,1,21.0,0.0,0.0,0.0,1997.0,A01,1.0,30,0,0.0,0.0,1.0,1.0,2,19,2240,5,1,1,1,6,5,30,1,1
24074,201600010835,1.0,1,1,1,11.0,0.0,0.0,0.0,1979.0,A01,2.0,7,0,0.0,1.0,1.0,1.0,2,27,1910,5,2,1,1,6,4,7,2,2
24075,201600010835,0.0,3,3,1,0.0,0.0,0.0,0.0,1990.0,A01,2.0,7,0,0.0,1.0,1.0,1.0,2,27,1910,5,2,1,1,6,4,7,2,2
24076,201600010836,1.0,1,1,1,13.0,0.0,0.0,0.0,1962.0,A01,1.0,7,0,0.0,1.0,1.0,1.0,2,4,1035,1,2,3,1,6,1,7,2,2
24077,201600010836,0.0,3,4,2,0.0,3.0,0.0,1.0,1978.0,A01,1.0,7,0,0.0,1.0,1.0,1.0,2,4,1035,1,2,3,1,6,1,7,2,2
24078,201600010837,1.0,1,4,1,21.0,0.0,0.0,0.0,1993.0,A01,1.0,30,0,0.0,2.0,1.0,9.0,2,28,1435,1,2,6,1,3,3,7,1,2
24079,201600010837,1.0,1,1,1,11.0,0.0,0.0,0.0,1976.0,B01,1.0,7,0,0.0,2.0,5.0,9.0,2,28,1435,1,2,6,1,3,3,30,2,1
24080,201600010838,1.0,1,1,1,21.0,0.0,0.0,0.0,1974.0,A01,1.0,1,0,0.0,1.0,1.0,0.0,3,17,1210,1,2,1,1,6,2,1,1,1
24081,201600010838,0.0,3,3,1,0.0,4.0,3.0,1.0,1920.0,A01,1.0,1,0,0.0,1.0,1.0,0.0,3,17,1210,1,2,1,1,6,2,1,1,1
24082,201600010839,1.0,1,1,2,11.0,0.0,0.0,0.0,1938.0,A01,2.0,7,0,0.0,2.0,2.0,15.0,3,1,1728,1,2,3,1,3,3,33,2,1
24083,201600010839,1.0,1,4,1,21.0,0.0,0.0,0.0,1992.0,B01,1.0,33,0,0.0,2.0,1.0,1.0,3,1,1728,1,2,3,1,3,3,7,1,2
